Unnamed: 0,full_text,sumy_LSA,sumy_TextRank,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
10," 
Требования:  Строительная компания приглашает на работу вахтовым методом на Север. З/п 150-165 тыс. руб. Обратите внимание: опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Информация о работодателе: Строительная компания.
", З/п 150-165 тыс. руб. Обратите внимание. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. Работодатель предоставляет проживание. Информация о работодателе.,,
11," 
Требования:  СРОЧНО! Строительная компания приглашает на работу вахтовым методом на Север. Зарплата от 110 тыс. руб. до 140 тыс. руб. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Условия: Вахта  
Информация о работодателе: Строительная компания.
", Строительная компания приглашает на работу вахтовым методом на Север. Зарплата от 110 тыс. руб. до 140 тыс. руб. Оформление по ТК РФ. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. Зарплата от 110 тыс. руб. до 140 тыс. руб. Оформление по ТК РФ. Работодатель предоставляет проживание.,,
12," 
Требования:  на постоянную работу в столовую на ул. Стасова или на ул. Новороссийской. Оформление по ТК, опыт работы приветствуется, оплачиваемые переработки. График работы 4/2, з/п 1400 руб./смена, выплата з/п 2 раза в месяц, премии по итогам работы, бесплатное трехразовое питание, спецодежда  
Информация о работодателе: Столовая, ул. Стасова или ул. Новороссийская.
", на постоянную работу в столовую на ул. Стасова или на ул. Новороссийской. выплата з/п 2 раза в месяц. премии по итогам работы., на постоянную работу в столовую на ул. Стасова или на ул. Новороссийской. премии по итогам работы. ул. Стасова или ул. Новороссийская.,,
13," 
Требования:  на постоянную работу в столовую на ул. Стасова. Оформление по ТК. График работы 5/2 или 4/2, з/п 1500 руб./смена +3%, бесплатное трехразовое питание ,опыт работы приветствуется, оплачиваемые переработки  
Информация о работодателе: Столовая, ул. Стасова.
", на постоянную работу в столовую на ул. Стасова. График работы 5/2 или 4/2. опыт работы приветствуется., на постоянную работу в столовую на ул. Стасова. з/п 1500 руб. смена. оплачиваемые переработки.,,
14," 
Требования:  в столовую на ул. Новороссийской. Оформление по ТК. График работы 5/2, з/п 1300 руб./смена, выплата з/п 2 раза в месяц, трехразовое питание, оплачиваемые переработки, опыт работы не имеет значения  
Условия: Оформление по ТК  
Информация о работодателе: Столовая, ул. Новороссийская.
", в столовую на ул. Новороссийской. выплата з/п 2 раза в месяц. опыт работы не имеет значения., в столовую на ул. Новороссийской. Оформление по ТК. опыт работы не имеет значения.,,
15," Fix Price (Фикс Прайс) - международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает кандидатов на вакансию ПРОДАВЕЦ-КАССИР по адресу Россия, г Москва, г Троицк, мкр В, д 57     Заработная плата 40000 – 45000  рублей в месяц.       Мы предлагаем:   - Работа в крупной, стабильной и динамично развивающейся компании;  -  Сменный график работы 5/2 по 8 часов или 2/2 по 11 часов,  в зависимости от магазина;  - Выплата заработной платы два раза в месяц;  -  Премия  по результатам работы универсама;  - Прозрачная система оплаты;  - Реальный и быстрый  карьерный рост  до старшего продавца (Администратора) и Заведующего магазином.      Наши преимущества:   - Работа  рядом с домом ;  - Мы рады кандидатам как с опытом работы, так и новичкам;  - Обучение в процессе работы,  карьерный рост ;  -  Стабильный доход ;  - Бесплатная программа медицинского обслуживания;  - Возможность подработок для сотрудников.      Обязанности:   - Работа с кассой, кассовые операции и отчетность;  - Выкладка товара по планограмме, ротация товара;  - Контроль порядка в торговом зале и контроль сроков годности товара.      Требования:   - Желание работать;  - Приветствуется опыт работы в розничной торговле на позициях кассир, продавец, продавец консультант, работник торгового зала, товаровед, мерчендайзер.         Мы успешно развиваемся и приглашаем на работу ответственных и позитивных людей!    Присоединяйтесь к команде профессионалов!  ", международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает кандидатов на вакансию ПРОДАВЕЦ-КАССИР по адресу Россия. Выплата заработной платы два раза в месяц. Приветствуется опыт работы в розничной торговле на позициях кассир., международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает кандидатов на вакансию ПРОДАВЕЦ-КАССИР по адресу Россия. Контроль порядка в торговом зале и контроль сроков годности товара. Мы успешно развиваемся и приглашаем на работу ответственных и позитивных людей.,Международная сети магазинов всех семей с большим выбором продуктов питания по низкой фиксированной цене предлагает кандидатам вакансии ПРОДАВЕЦ-КАССИР в России. Работа в,В международной сети магазинов всех семей с широкими ассортиментами продуктов питания по низкой фиксированной цене приглашаются кандидаты в вакансии ПРОДАВЕЦ-КАСИР в России.
16," 
Требования:  Требования: Опыт работы кладовщиком от трех лет. Знание номенклатуры запчастей для дорожно-строительной и самосвальной техники. Знание 1С 8.3, 1С УАТ, ЕXСЕL, Word. Образование не ниже среднего профессионального. Опыт в проведении инвентаризации. Условия: Вахта 60/30 по Красноярскому краю, питание, проживание, проезд за счет работодателя, соц.пакет, з/п 100 т.р. Отклики на сайте не заполняйте, ЗВОНИТЕ! Обращаться в г. Краснодаре: ул. Восточно-Кругликовская, 18  
Информация о работодателе: Агентство занятости.
", Опыт работы кладовщиком от трех лет. Знание номенклатуры запчастей для дорожно-строительной и самосвальной техники. Образование не ниже среднего профессионального., Знание номенклатуры запчастей для дорожно-строительной и самосвальной техники. Опыт в проведении инвентаризации. проезд за счет работодателя.,,
17," 
Требования:  в связи с расширением филиалов. З/п от 35 тыс. руб. на руки, возможность дополнительного заработка. У нас уже 17 филиалов. Работа в разных районах г. Краснодара, в п. Южный, Индустриальный, х. Ленина. Контактное лицо: Анна  
Условия: Возможность подработок  
Информация о работодателе: ООО «Металлобаза №1».
", в связи с расширением филиалов. З/п от 35 тыс. руб. на руки. Работа в разных районах г. Краснодара., в связи с расширением филиалов. З/п от 35 тыс. руб. на руки. Возможность подработок.,,
18," 
Требования:  Строительная компания приглашает на работу вахтовым методом. Вахта на Север 60/30. Заработная плата 150 тыс. рублей. Обратите внимание: опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Информация о работодателе: Строительная компания.
", Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. з/п 2 раза в месяц на карту. Информация о работодателе.,,
19," 
Требования:  Сфера деятельности компании: электроснабжение, автоматизация технологических процессов. Требования: грамотная речь и письмо, знание ПК‚ Word‚ Exel, навыки работы с оргтехникой, прием входящих звонков и их распределение, ведение офисной документации; входящая‚ исходящая почта, обеспечение жизнедеятельности офиса, деловая переписка. График работы 5/2 с 9.00 до 18.00. Оформление по ТК. г. Краснодар, ул. Московская, 48 Тел.: 8 (918) 34-78-741, sekretar(собака)noint.ru  
Информация о работодателе: ООО НОИНТ.
", навыки работы с оргтехникой. прием входящих звонков и их распределение. График работы 5/2 с 9.00 до 18.00., навыки работы с оргтехникой. прием входящих звонков и их распределение. График работы 5/2 с 9.00 до 18.00.,,
20," 
Требования:  График 5/2 (вечернее время, после 17 час.), сб, вс - выходные, з/п 9000 руб., ул. Рахова/ул. Зарубина", вечернее время. после 17 час. сб. вс. выходные., вечернее время. после 17 час. з/п 9000 руб. ул. Рахова/ул.,,
21," 
Требования:  Высшее профильное образование. Опыт работы в аналогичной должности не менее 2-х лет. Обязанности: Контроль или проведение лабораторных анализов, испытаний и других видов исследований сырья, полуфабрикатов, материалов, конструкций и готовой продукции для определения соответствия действующим ТУ и стандартам. Осуществление расчетов по проведенным анализам, испытаниям и исследованиям, анализ полученных результатов и систематизация их. Участие в разработке ТП и исследование их в период освоения, внедрение стандартов и ТУ на используемые сырье, полуфабрикаты, материалы, а также в установлении прогрессивных норм их расхода. Выяснение причин брака и участие в разработке предложений по его предупреждению и устранению. Условия: Вахта 60/30 по Красноярскому краю, питание, проживание, проезд за счет работодателя, соц.пакет, з/п 140 т.р. Отклики на сайте не заполняйте, ЗВОНИТЕ! Обращаться в г. Краснодаре: ул. Восточно-Кругликовская, 18  
Информация о работодателе: Агентство занятости.
", Опыт работы в аналогичной должности не менее 2-х лет. внедрение стандартов и ТУ на используемые сырье. а также в установлении прогрессивных норм их расхода., конструкций и готовой продукции для определения соответствия действующим ТУ и стандартам. Участие в разработке ТП и исследование их в период освоения. Выяснение причин брака и участие в разработке предложений по его предупреждению и устранению.,,"Проектирование и изготовление готовых изделий для того, чтобы определить соответствие действующим стандартам и требованиям. Работа над разработкой ТП, а также исследованием их во время"
22," 
Требования:  Зарплата указана из расчета 30 рабочих дней. Требования: опыт работы по трудовой, удостоверение. Условия: Вахта 15/15 по Краснодарскому краю, проживание за счет организации, соц. пакет, з/п 40 т.р. за 15 дней. Рассматриваются только кандидаты, проживающие в Краснодарском крае. Отклики на сайте не заполняйте, ЗВОНИТЕ! Обращаться в г. Краснодаре: ул. Восточно-Кругликовская, 18  
Информация о работодателе: Агентство занятости.
", Зарплата указана из расчета 30 рабочих дней. проживание за счет организации. Отклики на сайте не заполняйте., Вахта 15/15 по Краснодарскому краю. з/п 40 т.р. за 15 дней. проживающие в Краснодарском крае.,,
23," 
Требования:  СРОЧНО! Строительная компания приглашает на работу вахтовым методом на Север. Заработная плата 90 тыс. руб./ месяц. Обратите внимание: опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Информация о работодателе: Строительная компания.
", Заработная плата 90 тыс. руб. месяц. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. з/п 2 раза в месяц на карту. Информация о работодателе.,,
24," 
Требования:  СРОЧНО! Строительная компания приглашает на работу вахтовым методом. Заработная плата 130 тыс. рублей. Обратите внимание: опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. Вахта 60/30. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Ппроезд за счет работодателя  
Информация о работодателе: Строительная компания.
", Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. Оформление по ТК РФ. Ппроезд за счет работодателя.,,
25," 
Требования:  СРОЧНО! Строительная компания приглашает на работу вахтовым методом. Заработная плата 80- 90 тыс. рублей. Обратите внимание: опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. Вахта 60/30. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Ппроезд за счет работодателя  
Информация о работодателе: Строительная компания.
", Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. Заработная плата 80. Ппроезд за счет работодателя.,,
26," 
Требования:  Оформление по ТК РФ. Вахта 60/30. Зар/плата 90 тыс. руб./мес. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Проезд за счет работодателя  
Информация о работодателе: Строительная компания.
", Оформление по ТК РФ. Зар/плата 90 тыс. руб. мес. Работодатель предоставляет проживание. Проезд за счет работодателя., Оформление по ТК РФ. Зар/плата 90 тыс. руб. мес. Работодатель предоставляет проживание. Строительная компания.,,
27," 
Требования:  СРОЧНО! Приглашаются на работу в строительную компанию вахтовым методом бригады, звенья, одиночки. Заработная плата 150 тыс. рублей на руки. Обратите внимание: опыт работы в аналогичной должности и удостоверение НАСК СК ОБЯЗАТЕЛЬНЫ. Вахта 60/30. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Проезд за счет работодателя  
Информация о работодателе: Строительная компания.
", Приглашаются на работу в строительную компанию вахтовым методом бригады. Заработная плата 150 тыс. рублей на руки. опыт работы в аналогичной должности и удостоверение НАСК СК ОБЯЗАТЕЛЬНЫ., Приглашаются на работу в строительную компанию вахтовым методом бригады. Оформление по ТК РФ. Проезд за счет работодателя.,,
28," 
Требования:  ул. Воскресенская, 18 и ул. Международная, 10. Оформление по ТК РФ. Графики работы разные, с 8-00 до 20-00. Зарплата от 35 тыс. рублей. Тел. 8 (981) 903-35-03  
Информация о работодателе: Образовательное учреждение, пгт Сириус.
", 18 и ул. Международная. Оформление по ТК РФ. Зарплата от 35 тыс. рублей., ул. Воскресенская. Оформление по ТК РФ. с 8-00 до 20-00.,,
29," 
Требования:  подработка, в колледж. г. Краснодар, ул. Бабушкина, 307  
Информация о работодателе: Колледж, ул Бабушкина, 307.
", в колледж. ул. Бабушкина. Информация о работодателе., в колледж. ул. Бабушкина. ул Бабушкина.,,
30," 
Требования:  4 часа в день, желательно с опытом работы в детском саду. Обязательно: наличие мед. книжки, справки об отсут. судимости. Предоставляется полный соц. пакет, льготные путевки детям сотрудников в детский сад, льготы по оплате. Тел.: 8 (861) 233-20-45. г. Краснодар, ул. им Полины Осипенко, д. 128, Центральный округ  
Информация о работодателе: Детский сад №70, ул. Осипенко, 128.
", желательно с опытом работы в детском саду. Предоставляется полный соц. пакет. льготные путевки детям сотрудников в детский сад., желательно с опытом работы в детском саду. льготные путевки детям сотрудников в детский сад. ул. им Полины Осипенко.,,
31," 
Требования:  СРОЧНО! Строительная компания приглашает на работу вахтовым методом на Север. Заработная плата 125 тыс. руб./ месяц. Обратите внимание: опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. Оформление по ТК РФ, з/п 2 раза в месяц на карту. Работодатель предоставляет проживание, 3-разовое питание, спецодежду, обувь. Компенсация проезда  
Информация о работодателе: Строительная компания.
", Заработная плата 125 тыс. руб. месяц. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. з/п 2 раза в месяц на карту. Информация о работодателе.,,
32," 
Требования:  на постоянную работу. Организация находится в КАРАСУНСКОМ ОКРУГЕ. Оформление по ТК РФ, оклад 50 тыс. руб., знание программы 1С ОБЯЗАТЕЛЬНО! Подробности по тел.: 8 (918) 356-57-96  
Информация о работодателе: Организация, Карасунский округ.
", Организация находится в КАРАСУНСКОМ ОКРУГЕ. Оформление по ТК РФ. оклад 50 тыс. руб. знание программы 1С ОБЯЗАТЕЛЬНО., Организация находится в КАРАСУНСКОМ ОКРУГЕ. Оформление по ТК РФ. оклад 50 тыс. руб. знание программы 1С ОБЯЗАТЕЛЬНО.,,
