,rut5-base-paraphraser(LSA),rut5-base-paraphraser(TextRank)
66,"Я Марина, начальник отдела подготовки персонала для колл центра IP-call. На баланс операторов системы сразу вносится сумма, свяжусь через 2 дня и присылаем ссылку",
67,"Для семьи из 4 человек требуются помощник/помощник в доме с жильем. своевременное обслуживание и обслуживание бытовой техники, опыт работать помощником/помощником в доме с жильем в","Для семьи из 4 человек требуются помощник/помощник в доме с жильем. своевременное обслуживание и обслуживание бытовой техники, опыт работать помощником/помощником в доме с жильем в"
68,,
69,"Формирование полноценной и правдоподобной информации по порядку формирования сведений о доходах и затратах организации, составление справок о начислении и уплате налогов в бюджет, сверка с налог",Формирование полноценной и правдоподобной информации по порядку формирования сведений о доходах и затратах организации; подготовка и сопровождение налоговой отчетности и налоговой отчетности; составление справок
70,,
71,,
72,"Сопровождает международные программы по подготовке и обучения ППС в Университете. Содействие зарубежным университетам в области осуществления академических обмена ППС, Сопровождает международные мероприятия и посещения",Организация международной программы по подготовке и подготовке специалистов ППС университета. Организация участия отделений ВУЗов в Международной программе и Проектах. Рекомендации по работе
73,,
74,,
75,Продольно- поперечно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-продольно-,"Продольный и продольный раскрой брусков и брусков из твердого дерева на многопиловых и плоскопилочных станках, раскрой брусков и брусков из круглого дерева"
76,,"Выполнение работ по ремонту и эксплуатации тракторов, спецтехники, выявления и устранения неисправности и дефектов, знание оборудования и технологий технического обслуживания тракторов, спецтехники,"
77,,
78,Продольно- поперечно-продольно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-поперечно-,"Продольный и продольный раскрой брусков и брусков из твердого дерева на многопиловых и плоскопилочных станках, раскрой брусков и брусков из круглопилочных"
79,"ГБУ ТС Объединение АВ/АС. Квитанции оплаты багажа, других услуг, установленные сборы и прочие проездно-перевозочные документы пассажиров на автотранспорте в","Квитанции на оплату багажа, других услуг, установленные сборы и прочие проездные и транспортные документы пассажиров на автотранспорте по действующему оборудованию."
80,"Объем перевозки и в зависимости от конкретных условиях организует группу водителей, осуществляет контроль технического состояния автомобиля и вывоз его на рейс в соответствии со штатом рейса","Контролирует техническое состояние автомобилей, выпускает их по линии в соответствии со установленным рейсовым графиком, принимает их в аренду в соответствии со штатом водителей и"
81,"Объем перевозки и в зависимости от конкретных условиях организует группу водителей, осуществляет контроль технического состояния автомобиля и вывоз его на рейс в соответствии со штатом рейса","Контролирует техническое состояние автомобилей, выпускает их по линии в соответствии со установленным рейсовым графиком, принимает их в аренду в соответствии со штатом водителей и"
82,"Смонтированный на колесах автомобиля с давлением рабочего давления более 95 кг/к.см. включительно, прогревается водой и прочими промышленными технологическими объектами паром, заработная плата завис",
83,,
84,,
85,Бесплатное обслуживание корпоративного транспорта до рабочего места и в обратном направлении. Организация экологического сопровождения предприятий в всем направлениях природоохранного и экологического сопровождения.,Осуществление экологического сопровождения предприятий в всем направлениях природоохранного и природоохранного законодательства. Разработка проектов перспективного и перспективного планирования мероприятий в области охраны природы. Контроль
86,,
87,,
88,,
89,,
90,,
91,,
92,,Осуществляет высококачественное окрасочное устройство внутреннего и внешнего покрытия деталей трансформатора и деталей сборки. Работы на современном заводе изготовления трансформаторов мощности. Хорошие
93,"Именно так у нас работает ГК «ПивКо» уже больше 10 лет, мы вместе кушаем свою собственную марку и принимаем разливные напитки в лучшей пивоварне города.",В НАШЕЙ Большой Сети Магазинов PivCo открывается возможность РЕГУЛЬНО ПРОХОДить УЧЕНИЕ и повысить степень ответственности в Компании. Вместе мы е
94,,
95,Учет наличие на складах хранившихся материалов и отчетная документация о их транспортировке. Проверка использования складских оборудования и приборов. работа в стабильном и успешенном рекламном,"Проверка наличия хранящейся на хранении материальной ценности и отчетная документация по ее движению, упаковке и др. Удостоверение владения компьютером, использования специальных программ для склад"
96,,
97,Передать документы для отчетности для выдачи в учет. Сообщить о ходе испытаний руководителя и работников на объекте. Нахождение водительской квалификации категории B. стаж,
98,"Расширяем и будет рады присоединиться к нашей команде к высококлассному сотрудничеству с выставками, направленными на продвижение товаров и сервисов ООО, развитие большой базы оптовых покупателей нашего",
99,,
