,sumy_LSA,sumy_TextRank
10, З/п 150-165 тыс. руб. Обратите внимание. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. Работодатель предоставляет проживание. Информация о работодателе.
11, Строительная компания приглашает на работу вахтовым методом на Север. Зарплата от 110 тыс. руб. до 140 тыс. руб. Оформление по ТК РФ. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. Зарплата от 110 тыс. руб. до 140 тыс. руб. Оформление по ТК РФ. Работодатель предоставляет проживание.
12, на постоянную работу в столовую на ул. Стасова или на ул. Новороссийской. выплата з/п 2 раза в месяц. премии по итогам работы., на постоянную работу в столовую на ул. Стасова или на ул. Новороссийской. премии по итогам работы. ул. Стасова или ул. Новороссийская.
13, на постоянную работу в столовую на ул. Стасова. График работы 5/2 или 4/2. опыт работы приветствуется., на постоянную работу в столовую на ул. Стасова. з/п 1500 руб. смена. оплачиваемые переработки.
14, в столовую на ул. Новороссийской. выплата з/п 2 раза в месяц. опыт работы не имеет значения., в столовую на ул. Новороссийской. Оформление по ТК. опыт работы не имеет значения.
15, международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает кандидатов на вакансию ПРОДАВЕЦ-КАССИР по адресу Россия. Выплата заработной платы два раза в месяц. Приветствуется опыт работы в розничной торговле на позициях кассир., международная сеть магазинов для всей семьи с широким ассортиментом товаров для дома по низким фиксированным ценам приглашает кандидатов на вакансию ПРОДАВЕЦ-КАССИР по адресу Россия. Контроль порядка в торговом зале и контроль сроков годности товара. Мы успешно развиваемся и приглашаем на работу ответственных и позитивных людей.
16, Опыт работы кладовщиком от трех лет. Знание номенклатуры запчастей для дорожно-строительной и самосвальной техники. з/п 100 т.р. Отклики на сайте не заполняйте., Знание номенклатуры запчастей для дорожно-строительной и самосвальной техники. Опыт в проведении инвентаризации. проезд за счет работодателя.
17, в связи с расширением филиалов. З/п от 35 тыс. руб. на руки. Работа в разных районах г. Краснодара., в связи с расширением филиалов. З/п от 35 тыс. руб. на руки. Возможность подработок.
18, Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. з/п 2 раза в месяц на карту. Работодатель предоставляет проживание.
19, навыки работы с оргтехникой. прием входящих звонков и их распределение. График работы 5/2 с 9.00 до 18.00., навыки работы с оргтехникой. прием входящих звонков и их распределение. График работы 5/2 с 9.00 до 18.00.
20, вечернее время. после 17 час. сб. вс. выходные., вечернее время. после 17 час. з/п 9000 руб. ул. Рахова/ул.
21, Опыт работы в аналогичной должности не менее 2-х лет. внедрение стандартов и ТУ на используемые сырье. а также в установлении прогрессивных норм их расхода., конструкций и готовой продукции для определения соответствия действующим ТУ и стандартам. Участие в разработке ТП и исследование их в период освоения. Выяснение причин брака и участие в разработке предложений по его предупреждению и устранению.
22, Зарплата указана из расчета 30 рабочих дней. проживание за счет организации. Отклики на сайте не заполняйте., Вахта 15/15 по Краснодарскому краю. з/п 40 т.р. за 15 дней. проживающие в Краснодарском крае.
23, Заработная плата 90 тыс. руб. месяц. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. з/п 2 раза в месяц на карту. Работодатель предоставляет проживание.
24, Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. Заработная плата 130 тыс. рублей. Ппроезд за счет работодателя.
25, Строительная компания приглашает на работу вахтовым методом. опыт работы в аналогичной должности ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом. Заработная плата 80. Ппроезд за счет работодателя.
26, Оформление по ТК РФ. Зар/плата 90 тыс. руб. мес. Работодатель предоставляет проживание. Проезд за счет работодателя., Оформление по ТК РФ. Зар/плата 90 тыс. руб. мес. Работодатель предоставляет проживание. Строительная компания.
27, Приглашаются на работу в строительную компанию вахтовым методом бригады. Заработная плата 150 тыс. рублей на руки. опыт работы в аналогичной должности и удостоверение НАСК СК ОБЯЗАТЕЛЬНЫ., Приглашаются на работу в строительную компанию вахтовым методом бригады. Обратите внимание. Проезд за счет работодателя.
28, 18 и ул. Международная. Оформление по ТК РФ. Зарплата от 35 тыс. рублей., ул. Воскресенская. с 8-00 до 20-00. Зарплата от 35 тыс. рублей.
29, в колледж. ул. Бабушкина. Информация о работодателе., в колледж. ул. Бабушкина. ул Бабушкина.
30, желательно с опытом работы в детском саду. Предоставляется полный соц. пакет. льготные путевки детям сотрудников в детский сад., желательно с опытом работы в детском саду. льготные путевки детям сотрудников в детский сад. ул. им Полины Осипенко.
31, Заработная плата 125 тыс. руб. месяц. опыт работы в аналогичной должности строго ОБЯЗАТЕЛЕН. з/п 2 раза в месяц на карту., Строительная компания приглашает на работу вахтовым методом на Север. з/п 2 раза в месяц на карту. Работодатель предоставляет проживание.
32, Организация находится в КАРАСУНСКОМ ОКРУГЕ. Оформление по ТК РФ. оклад 50 тыс. руб. знание программы 1С ОБЯЗАТЕЛЬНО., Организация находится в КАРАСУНСКОМ ОКРУГЕ. Оформление по ТК РФ. оклад 50 тыс. руб. знание программы 1С ОБЯЗАТЕЛЬНО.
33, ФРЕД для работы в Москве и Московской области. Оформление по ТК РФ. Заработная плата от 70 тыс. руб. Тел. 8., ФРЕД для работы в Москве и Московской области. Оформление по ТК РФ. Заработная плата от 70 тыс. руб. Тел. 8.
34, Октябрьский район. з/п от 2000 руб. смена. Обучение за счет работодателя., Октябрьский район. Официальное трудоустройство. Обучение за счет работодателя.
35, В загородный стрелковый клуб требуется. ОПЕРАТОР СТЕНДОВОЙ СТРЕЛЬБЫ. Информация о работодателе., В загородный стрелковый клуб требуется. З/п 28000 руб. своевременно. Бесплатные обеды.
36, В магазины на ул. Телевизорная. Дневные смены. Обучение за счет работодателя., В магазины на ул. Телевизорная. Дневные смены. З/п 1467 руб. смена.
37, В частный детский сад. Место работы. ул. Московская., В частный детский сад. Место работы. р-он Мичурина.
38, ПОВАР-УНИВЕРСАЛ. в кулинарный цех. З/п от 180 руб. час., Требуется. в кулинарный цех. З/п от 180 руб. час.
39, в Пищевой техникум. ул. Партизана Железняка. При необходимости предоставляется бесплатное обучение., ОХРАННИК 4 разряда. з/п 1800 руб. смена. При необходимости предоставляется бесплатное обучение.
40, Наши офисы представлены даже в самых удаленных уголках страны. а в нашей команде уже работают более 7500 профессиональных сотрудников. Стабильная работа в одной из самых крупных сервисных компаний страны., Инженер по обслуживанию систем безопасности. Навыки работы в электроустановках. Стабильная работа в одной из самых крупных сервисных компаний страны.
41, которые столкнулись с проблемой невыплаты кредитов банкам и имеют непосильную финансовую нагрузку. Это продуманная до мелочей эффективная система продаж и возможность карьерного роста. Мы гарантируем хороший доход при вашем желании добиваться поставленных целей и демонстрации высоких результатов., В связи с активным развитием нашей компании и расширением штата сотрудников в нашу команду требуется менеджер по продажам. удобный офис в центре города и интересные задачи. опыт работы в сфере продаж.
42, Компания НИИ УЭТМ находится в поисках рабочего по комплексному обслуживанию и ремонту зданий. навыки по проведению ремонтных и сантехнических работ. Размер зарплаты зависит от опыта и квалификации., Компания НИИ УЭТМ находится в поисках рабочего по комплексному обслуживанию и ремонту зданий. навыки по проведению ремонтных и сантехнических работ. Оборудованы место для приема пищи.
43, г. Саратов. ул. Политехническая. д. 77. з/п 15000 руб. график с 9 до 16 час., г. Саратов. ул. Политехническая. д. 77. з/п 15000 руб. график с 9 до 16 час.
44, в ночную смену. На кондитерское производство. ул. Бахметьевская., в ночную смену. На кондитерское производство. ул. Бахметьевская.
45, на продуктовую точку. график 7/7. з/п от 25000 руб., на продуктовую точку. график 7/7. з/п от 25000 руб.
46, Ведущий производитель запчастей для двигателей самолетов и вертолетов. Осуществляем бронирование и отстрочку от мобилизации в соответствии с действующим законодательством. Информация о работодателе., Осуществляем бронирование и отстрочку от мобилизации в соответствии с действующим законодательством. Информация о работодателе. СЭПО.
47, В пекарню. График. Р-н автовокзала, В пекарню. График. Р-н автовокзала
48, Районы и графики работы различные. Своевременная з/п. полный соцпакет, Районы и графики работы различные. обучение. полный соцпакет
49, з/п 45000 руб. г. Энгельс. ул. Гагарина. Информация о работодателе., з/п 45000 руб. г. Энгельс. ул. Гагарина. 1 А. р-н Мясокомбината.
50, Организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб., Организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб.
51, организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб., организации в Ленинском р-не г. Саратова для работы на объектах Министерства обороны. Командировки. з/п от 400000 руб.
52, приглашает на работу уборщика производственных и служебных помещений мы ценим наших сотрудников. за всю историю компании ни разу не задерживали заработную плату. Будем рады видеть Вас в нашем дружном коллективе., приглашает на работу уборщика производственных и служебных помещений мы ценим наших сотрудников. сухая и влажная уборка служебных и складских. соблюдение правил санитарии и гигиены в убираемых помещениях.
53, 3)Можно совмещать работу с основной 4)Выплаты сразу после выполнения заказов 5. отмечайте по карте в каком районе вам удобно работать. Всегда видите точку А и Б. заказа до приема., 3)Можно совмещать работу с основной 4)Выплаты сразу после выполнения заказов 5. В средний доход в час от 600. до 950. в среднем. Стаж вождения на пассажирские перевозки от 3х лет На тариф доставка стаж неважен Телефон на базе Android Автомобиль без явных повреждений
54," изготовления столярных изделий. умение читать чертежи,высчитывать размеры. Условия:знание станков"," изготовления столярных изделий. мебель,лестницы. умение читать чертежи,высчитывать размеры."
55, На данный момент в ГК Мегаполис открыта вакансия. Опыт работы водителем по трудовой книжке от 1 года. Прием товара со склада согласно выписанных накладных., Опыт работы водителем по трудовой книжке от 1 года. ответственность за полученные за товар по накладным денежные средства. Оформление по ТК РФ.
56, Опыт работы в должности главного бухгалтера от 3 лет. Работа на крупном и стабильном производственном предприятии машиностроения. Служебный автобус до Автозаводского и Ленинского района., налогового и управленческого учёта. Опыт учета производства. Знание бухгалтерского и налогового законодательства.
57, взаимодействовать с клиентами во всех мессенджерах и соцсетях. расходных материалов и т.д. своевременно информировать Управляющего о необходимости закупок. Умение работать в режиме многозадачности и четко расставлять приоритеты., Работать с базой данных клиентов в CRM системе. взаимодействовать с клиентами во всех мессенджерах и соцсетях. Умение работать в режиме многозадачности и четко расставлять приоритеты.
58, Организация и ведение работ на строительном объекте. Сдача выполненных работ заказчику и техническому надзору. Опыт работы по СПК и вент.фасадам от 3-х лет., Производство работ по СПК и вент.фасадам. Опыт работы по СПК и вент.фасадам от 3-х лет. Работа по Москве и Московской области.
59, Организация и ведение работ на строительном объекте. Сдача выполненных работ заказчику и техническому надзору. Опыт работы по СПК и вент.фасадам от 3-х лет., Производство работ по СПК и вент.фасадам. Опыт работы по СПК и вент.фасадам от 3-х лет. Работа по Москве и Московской области.
60, Поиск клиентов для размещения контракта. Желание работать и совершенствоваться. Не полный рабочий день., Поиск клиентов для размещения контракта. продукция полиграфии. Желание работать и совершенствоваться.
61, учет и планирование финансовой деятельности бизнеса. бухгалтерия и отчетность в налоговой. творческий подход к поиску способов выполнения оставленных задач., учет и планирование финансовой деятельности бизнеса. Требуемые навыки. планирование продаж.
62, Агрономическое образование ИЛИ опыт работы в сельском хозяйстве. Наличие клиентской базы с/х предприятий и фермерских хозяйств является преимущественным фактором. Наличие водительского удостоверения и готовность к разъездному характеру работы., Опыт активных прямых продаж от 2 лет. Наличие клиентской базы с/х предприятий и фермерских хозяйств является преимущественным фактором. Наличие водительского удостоверения и готовность к разъездному характеру работы.
63, Водительские права категории B. Стаж вождения от 1 года. Доставка документов по Москве. Заработная плата от 55 000 рублей., Водительские права категории B. Стаж вождения от 1 года. Доставка документов по Москве. Офис м. Павелецкая
64, Легенда американского фаст-фуда приглашает на работу всех. кто готов начать карьеру в ресторанном бизнесе. Работа рядом с домом по гибкому графику., Легенда американского фаст-фуда приглашает на работу всех. кто хочет совмещать работу и учебу. Работа в крупной международной компании.
65, выполняет работы по строительству и ремонту автомобильных дорог. Четкое выполнение заданий полученных от мастеров на объектах и диспетчеров. своевременная выплата зарплаты 2 раза в месяц., выполняет работы по строительству и ремонту автомобильных дорог. Работа с путевыми листами. работа в большом и дружном коллективе.
66, Меня зовут Марина я руководитель отдела по подбору персонала колл-центра IP-call. на баланс оператора в системе сразу начисляется сумма за него. мы свяжемся в течение 2 рабочих дней и пришлем ссылку на анкету., Оператор фиксирует в карточке заказа данные клиента и доставки. на баланс оператора в системе сразу начисляется сумма за него. мы свяжемся в течение 2 рабочих дней и пришлем ссылку на анкету.
67, В семью из 4-х человек требуется домработница/помощница по дому с проживанием. своевременная чистка и уход за бытовой техникой. опыт работы помощницей по хозяйству/домработницей с проживанием в семье., В семью из 4-х человек требуется домработница/помощница по дому с проживанием. уход за гардеробом. опыт работы помощницей по хозяйству/домработницей с проживанием в семье.
68, АНО ДООЦ Алые паруса. Изготовление продукции хлебобулочного ассортимента в соответствии с утверждённым меню. 24 км Червишевского тракта., Изготовление продукции хлебобулочного ассортимента в соответствии с утверждённым меню. в т.ч. начальное профессиональное. адрес работодателя.
69, Формирование полной и достоверной информации о порядке формирования данных о величине доходов и расходов организации. составление реестров начислений и уплаты налогов и сборов в бюджет для сверки с налоговыми органами. необходим опыт работы в транспортных предприятиях., Формирование полной и достоверной информации о порядке формирования данных о величине доходов и расходов организации. подготовки и сдач налоговой и статистической отчетности. составление реестров начислений и уплаты налогов и сборов в бюджет для сверки с налоговыми органами.
70, Проживание за счет работодателя в общежитии. Компенсация проезда к месту работы и обратно. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Урайское управление технологического транспорта. Компенсация проезда к месту работы и обратно. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.
71, Осуществление подготовки товаров к продаже. состояния упаковки и правильности маркировки. Контроль своевременного пополнения рабочего запаса товаров., взвешивание и упаковка продовольственных товаров. Контроль своевременного пополнения рабочего запаса товаров. Комфортные условия труда.
72, Сопровождение международных программ повышения квалификации и стажировок ППС Университета. Взаимодействие с зарубежными университетами в части реализации академических обменов ППС. Сопровождение проведения международных мероприятий и визитов иностранных делегаций в Университет., Сопровождение международных программ повышения квалификации и стажировок ППС Университета. Сопровождение участия подразделений вуза в международных программах и проектах. Приветствуется опыт работы в реализации международных проектов и программ.
73, Выполняет перечень работ и услуг для диагностики заболевания. оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Знать правила и нормы по охране труда., 1. прямой работодатель. оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Предоставление нового служебного благоустроенного жилья.
74, официальное трудоустройство и социальный пакет согласно ТК РФ. индексация заработной платы 2 раза в год. предоставление льгот и компенсаций. спортивный и тренажерный зал. на постоянной основе., работа на ленточнопильных станках. работа на пробивных станках. индексация заработной платы 2 раза в год. предоставление льгот и компенсаций.
75, продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке., продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. Комфортные условия труда.
76, Индивидуальный предприниматель Ибрагимова Ирина Владимировна. норм охраны труда и правил противопожарной безопасности. опыт работы с диагностическим оборудованием., выполнение операций по техническому обслуживанию и ремонту тракторов и спец. техники. выявление и устранение неисправностей и деффектов. знание устройства и технологии ремонта тракторов и спецтехники.
77, Требуется стоматолог. терапевт. стоматолог общей практики, Требуется стоматолог. терапевт. стоматолог-хирург.
78, продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. индивидуальный комбинированный раскрой пиломатериалов на заданные отрезки в лесопильном потоке. Пятидневная рабочая неделя с 8-00 до 17-00., продольный и поперечный раскрой пиломатериалов из древесины твердых пород на многопильных и круглопильных станках. раскрой бревен и заготовок из круглых лесоматериалов на круглопильных и ленточных. Пятидневная рабочая неделя с 8-00 до 17-00.
79, ГБУ ТО Объединение АВ и АС. квитанции по оплате багажа и различных услуг. установленных сборов и других проездных и перевозочных документов пассажирам на автомобильном транспорте в соответствии с действующей технологией., квитанции по оплате багажа и различных услуг. установленных сборов и других проездных и перевозочных документов пассажирам на автомобильном транспорте в соответствии с действующей технологией. Сменный график работы 2 через 2 по 11 часов.
80, объемы перевозок и с учетом конкретных условий организует бригады водителей. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.
81, объемы перевозок и с учетом конкретных условий организует бригады водителей. Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Организует контроль за техническим состоянием автомобилей и выпуск их на линию в строгом соответствии с утвержденным графиком перевозок. Организует приемку поступающих в эксплуатацию подвижного состава и оборудования. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.
82, смонтированные на шасси автомобиля с рабочим давлением пара свыше 95 кгс/кв.см включительно. прогревает водоводы и другие промышленные технологические объекты паром. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты., Обслуживает паровые передвижные депарафинизационные установки и агрегаты. агрегат к работе на объекте. Заработная плата зависит от класса водителя и указана к получению на руки за 15 дней вахты.
83, От себя мы гарантируем ежедневный большой поток машин. 80. автомойщиков перешли на должности администраторов и управляющих. Если Вы оказались в трудной жизненной ситуации., С связи с расширением набираем команду автомойщиков с опытом и без опыта работы. Кого мы ждем в команду. Вся информация по телефону или в личные сообщения в ВК vk.com/id70588194.
84, АО Тюменская домостроительная компания. подбор персонала и проведение интервью с кандидатами. пятидневная рабочая неделя с 8-00 до 17-00. оклад., организация и контроль проведения обучения работников в образовательных организациях. подбор персонала и проведение интервью с кандидатами. комфортные условия труда.
85, Бесплатная доставка корпоративным транспортом до места работы и обратно. Осуществлять экологическое сопровождение предприятий по всем вопросам природопользования и охраны окружающей среды. Разрабатывать проекты перспективных и текущих планов проведения мероприятий по охране окружающей среды., Осуществлять экологическое сопровождение предприятий по всем вопросам природопользования и охраны окружающей среды. Разрабатывать проекты перспективных и текущих планов проведения мероприятий по охране окружающей среды. Осуществлять контроль состояния окружающей среды в сфере влияния предприятия.
86, подбор цвета автомобильных красок. ведение и учет склада лакокрасочных материалов. работа в крупной и динамично развивающей компании., подбор цвета автомобильных красок. работа в крупной и динамично развивающей компании. официальное трудоустройство.
87, Наличие действующего удостоверения частного охранника. выплата заработной платы 2 раза в месяц. обучение за счет организации, Охрана объекта. Наличие действующего удостоверения частного охранника. выплата заработной платы 2 раза в месяц.
88, Обеспечение порядка на охраняемых объектах. Наличие действующего удостоверения частного охранника. Выплата заработной платы 2 раза в месяц., Наличие действующего удостоверения частного охранника. Выплата заработной платы 2 раза в месяц. Работа на объектах г. Челябинск.
89, проведение проверки знаний на группу по электробезопасности. стаж работы не менее 5 лет. IV гр. до и выше 1000 В. Условия:, проведение проверки знаний на группу по электробезопасности. стаж работы не менее 5 лет. IV гр. до и выше 1000 В. Условия:
90, Работа на современном заводе по производству силовых трансформаторов. Возможности для профессионального и карьерного роста. Доставка на предприятие корпоративным транспортом от метро., Работа на современном заводе по производству силовых трансформаторов. пос. Металлострой. Отличные условия труда.
91, Создание карточек товаров на маркетплейсе. а также предложение решений по увеличению прибыли. Безлимитная корпоративная связь для всех сотрудников компании.," Создание карточек товаров на маркетплейсе. Отслеживание изменений в работе маркетплейса. ЛК Wildberries"""
92, Стаж работы по специальности не менее 1 года. Работа на современном заводе по производству силовых трансформаторов. Доставка на предприятие корпоративным транспортом от метро., Осуществление высококачественного окрашивания внутренних и наружных поверхностей деталей и сборочных узлов трансформатора. Работа на современном заводе по производству силовых трансформаторов. Отличные условия труда.
93, У нас именно так. А вообще ГК ПивКо работает на рынке уже более 10 лет. вместе едим продукцию нашей собственной торговой марки и проводим дегустации разливных напитков в лучших пабах города. РАБОТАЯ У НАС. С улыбкой встречать каждого покупателя и дарить хорошее настроение окружающим., ИМЕЮТ ВОЗМОЖНОСТЬ РЕГУЛЯРНО ПРОХОДИТЬ ОБУЧЕНИЕ И ПОВЫШАТЬ ДОЛЖНОСТЬ В КОМПАНИИ. В нашей большой сети магазинов ПивКо открыта вакансия продавца в НОВЫЙ МАГАЗИН. вместе едим продукцию нашей собственной торговой марки и проводим дегустации разливных напитков в лучших пабах города.
94, Транспортная компания предлагает постоянную работу. на доставку продуктов питания по торговым точкам. Доставка продукции по торговым точкам Калуги и области., Транспортная компания предлагает постоянную работу. на доставку продуктов питания по торговым точкам. Доставка продукции по торговым точкам Калуги и области.
95, Учет наличия на складе хранящихся материальных ценностей и ведение отчетной документации по их движению. Контроль использования в работе складской техники и оборудования. Работа в стабильной и успешной компании-лидере рекламного рынка РФ., Учет наличия на складе хранящихся материальных ценностей и ведение отчетной документации по их движению. упаковку и т.д. Уверенное владение компьютером и использование специализированных программ по складскому учету. Контроль использования в работе складской техники и оборудования.
96, Курирование проекта с этапа изготовления до монтажа и сдачи объекта. Профессиональные навыки в конструкторской документации и проектировании. Опыт работы в аналогичной должности не менее 2 лет., Курирование проекта с этапа изготовления до монтажа и сдачи объекта. Профессиональные навыки в конструкторской документации и проектировании. Работа в стабильной и успешной компании.
97, Передавать документы по инвентаризациям для отражения в учете. Информировать о результатах инвентаризаций руководителей и сотрудников на объектах. Наличие водительского удостоверения категории В. со стажем более 3 лет, центральных складах и базах по. Оформлять рабочую и отчетную документацию по результатам инвентаризаций. корректное и своевременное отражение итогов инвентаризации в учете.
98, Мы расширяемся и будем рады принять в свою команду высококлассного. участие в выставках с целью продвижения продукции и услуг ООО. Развитие большой имеющейся базы потенциальных оптовых клиентов нашего направления., Консультирование клиентов по продукции и услугам ООО. участие в выставках с целью продвижения продукции и услуг ООО. контроль за актуальностью и корректностью информации по продукции и услугам ООО.
99, поэтому сразу правильно оценивайте свои возможности. Предпочтение монтажникам металлический и ж/б конструкций. Предпочтение отслужившим в ВС РФ., Ремонт подкрановых путей мостовых кранов. работа не самая лёгкая. Предпочтение отслужившим в ВС РФ.
